Identifier,Start date,End date,Number of deaths,Incident,State,Year,Month,Month Name
IBD030801,2024-09-18,2024-09-18,3,Road Accident,Fct (Abuja),2024,9,September
IBD030855,2024-09-17,2024-09-18,2,Cult Clash,Oyo,2024,9,September
IBD030791,2024-09-17,2024-09-17,1,Police Vs Kidnappers,Edo,2024,9,September
IBD030798,2024-09-17,2024-09-17,1,Woman Dies,Lagos,2024,9,September
IBD030800,2024-09-17,2024-09-17,1,Building Collapse,Osun,2024,9,September
IBD030848,2024-09-16,2024-09-23,8,Cult Clash,Imo,2024,9,September
IBD030797,2024-09-16,2024-09-16,1,Man Vs Fiancee,Kano,2024,9,September
IBD030790,2024-09-16,2024-09-16,1,Gunmen Vs Pos Operator,Oyo,2024,9,September
IBD030789,2024-09-16,2024-09-16,11,Road Accident,Ogun,2024,9,September
IBD030774,2024-09-16,2024-09-16,38,Road Accident,Kaduna,2024,9,September
IBD030772,2024-09-16,2024-09-16,2,IpobVsEsn Vs Police,Anambra,2024,9,September
IBD030794,2024-09-16,2024-09-16,1,Road Accident,Lagos,2024,9,September
IBD030776,2024-09-16,2024-09-16,3,IpobVsEsn Vs Police,Imo,2024,9,September
IBD030792,2024-09-16,2024-09-16,2,Troops Vs Bandits,Kaduna,2024,9,September
IBD031067,2024-09-16,2024-09-16,2,Domestic Violence,Kano,2024,9,September
IBD030784,2024-09-16,2024-09-16,2,Bandits Vs Army,Kaduna,2024,9,September
IBD030873,2024-09-15,2024-09-21,2,Flooding Kills 2,Kebbi,2024,9,September
IBD030871,2024-09-15,2024-09-21,5,Flooding Kills 5,Kebbi,2024,9,September
IBD030777,2024-09-15,2024-09-15,2,Neighbours,Lagos,2024,9,September
IBD031039,2024-09-15,2024-09-15,1,Electrocution,Fct (Abuja),2024,9,September
IBD030869,2024-09-15,2024-09-21,8,Flooding Kills 8,Kebbi,2024,9,September
IBD030867,2024-09-15,2024-09-21,7,Flooding Kills 7,Kebbi,2024,9,September
IBD030767,2024-09-15,2024-09-15,5,Kidnappers Attack,Niger,2024,9,September
IBD030782,2024-09-15,2024-09-15,3,Road Accident,Oyo,2024,9,September
IBD030787,2024-09-15,2024-09-15,1,Bike Thief,Fct (Abuja),2024,9,September
IBD030771,2024-09-15,2024-09-15,1,Cult Clash,Lagos,2024,9,September
IBD030783,2024-09-15,2024-09-15,1,Assailants Vs Man,Yobe,2024,9,September
IBD030775,2024-09-15,2024-09-15,1,Road Accident,Lagos,2024,9,September
IBD030778,2024-09-15,2024-09-15,5,Gunmen Attack 5,Plateau,2024,9,September
IBD030781,2024-09-15,2024-09-15,3,Banditry,Kaduna,2024,9,September
IBD030872,2024-09-15,2024-09-21,7,Flooding Kills 7,Kebbi,2024,9,September
IBD030779,2024-09-15,2024-09-15,1,Road Accident,Ondo,2024,9,September
IBD030768,2024-09-15,2024-09-15,2,Banditry,Kaduna,2024,9,September
IBD030788,2024-09-14,2024-09-14,3,Witchcraft,Adamawa,2024,9,September
IBD030773,2024-09-14,2024-09-14,1,Road Accident,Ekiti,2024,9,September
IBD030757,2024-09-14,2024-09-14,6,Political Violence,Rivers,2024,9,September
IBD030758,2024-09-14,2024-09-14,5,Road Accident,Oyo,2024,9,September
IBD030762,2024-09-14,2024-09-14,40,Boat Mishap,Zamfara,2024,9,September
IBD030786,2024-09-14,2024-09-14,3,Soldiers Vs Bandits,Niger,2024,9,September
IBD030760,2024-09-14,2024-09-14,1,Road Accident,Ogun,2024,9,September
IBD030863,2024-09-14,2024-09-14,6,Cult Clash,Lagos,2024,9,September
IBD031127,2024-09-14,2024-09-14,3,Organ Harvesting,Ebonyi,2024,9,September
IBD030765,2024-09-14,2024-09-14,1,Vandal Electrocuted,Yobe,2024,9,September
IBD030769,2024-09-14,2024-09-14,1,Road Accident,Lagos,2024,9,September
IBD030862,2024-09-14,2024-09-14,1,Cult Killing,Lagos,2024,9,September
IBD030766,2024-09-14,2024-09-14,1,Gunmen Vs Market Leader,Enugu,2024,9,September
IBD030770,2024-09-14,2024-09-14,1,Assailant Vs Man,Plateau,2024,9,September
IBD030755,2024-09-13,2024-09-13,2,Stampede,Borno,2024,9,September
IBD030748,2024-09-13,2024-09-13,39,NAF Vs Bandits,Zamfara,2024,9,September
IBD030763,2024-09-13,2024-09-13,2,Ritual Killing,Anambra,2024,9,September
IBD030785,2024-09-13,2024-09-13,2,Police Vs Bandits,Niger,2024,9,September
IBD030799,2024-09-13,2024-09-13,1,Police Vs Kidnappers,Rivers,2024,9,September
IBD030733,2024-09-12,2024-09-12,8,Banditry,Zamfara,2024,9,September
IBD030759,2024-09-12,2024-09-12,1,Road Accident,Anambra,2024,9,September
IBD030741,2024-09-12,2024-09-12,4,Police Vs Kidnappers,Rivers,2024,9,September
IBD030754,2024-09-12,2024-09-12,5,Road Accident,Edo,2024,9,September
IBD030738,2024-09-12,2024-09-12,24,Road Accident,Osun,2024,9,September
IBD030793,2024-09-12,2024-09-12,1,Students Vs Colleague,Oyo,2024,9,September
IBD030734,2024-09-12,2024-09-12,21,Road Accident,Kaduna,2024,9,September
IBD030818,2024-09-12,2024-09-12,1,Housewife Vs Stepson,Benue,2024,9,September
IBD030752,2024-09-12,2024-09-12,7,Road Accident,Edo,2024,9,September
IBD030739,2024-09-11,2024-09-11,1,Gunmen Vs Woman,Kogi,2024,9,September
IBD030737,2024-09-11,2024-09-11,2,Road Accident,Ondo,2024,9,September
IBD031908,2024-09-11,2024-09-11,1,Police Vs Kidnappers,Imo,2024,9,September
IBD030724,2024-09-11,2024-09-11,23,Security Operatives Vs Boko Haram,Niger,2024,9,September
IBD030725,2024-09-11,2024-09-11,3,Road Accident,Anambra,2024,9,September
IBD031559,2024-09-11,2024-09-11,1,Cultists Kill Man,Rivers,2024,9,September
IBD030726,2024-09-10,2024-09-10,4,Army Vs Bandits,Kaduna,2024,9,September
IBD030796,2024-09-10,2024-09-10,1,Shop Demolition,Oyo,2024,9,September
IBD030716,2024-09-10,2024-09-10,7,Herdsmen Attack,Benue,2024,9,September
IBD030625,2024-09-10,2024-09-10,1,Road Accident,Lagos,2024,9,September
IBD030820,2024-09-10,2024-09-10,1,Assailant Vs Girl,Kaduna,2024,9,September
IBD030746,2024-09-10,2024-09-10,2,Herdsmen Vs Farmers,Benue,2024,9,September
IBD030718,2024-09-10,2024-09-10,2,Charcoal Dealers,Bauchi,2024,9,September
IBD030727,2024-09-10,2024-09-10,1,Hoodlum Vs Man,Fct (Abuja),2024,9,September
IBD030744,2024-09-10,2024-09-11,2,Gas Explosion,Ebonyi,2024,9,September
IBD030742,2024-09-10,2024-09-10,3,Banditry,Kaduna,2024,9,September
IBD030728,2024-09-10,2024-09-10,6,Road Accident,Kano,2024,9,September
IBD030745,2024-09-10,2024-09-10,1,Electrocution,Fct (Abuja),2024,9,September
IBD030714,2024-09-09,2024-09-09,3,Gunmen Attack 3,Anambra,2024,9,September
IBD030723,2024-09-09,2024-09-09,62,Flooding,Borno,2024,9,September
IBD030721,2024-09-09,2024-09-09,1,Girl Vs Friend,Lagos,2024,9,September
IBD030719,2024-09-09,2024-09-09,1,Electrocution,Lagos,2024,9,September
IBD030710,2024-09-09,2024-09-09,3,Gunmen Attack,Delta,2024,9,September
IBD030720,2024-09-09,2024-09-09,5,Security Operatives Vs Bandits,Fct (Abuja),2024,9,September
IBD030715,2024-09-09,2024-09-09,2,Road Accident,Fct (Abuja),2024,9,September
IBD030705,2024-09-08,2024-09-08,2,Flood Disaster,Kaduna,2024,9,September
IBD030703,2024-09-08,2024-09-08,6,Banditry,Kaduna,2024,9,September
IBD030708,2024-09-08,2024-09-08,1,Gunmen Vs Pastor's Aide,Imo,2024,9,September
IBD030695,2024-09-08,2024-09-08,64,Road Accident,Niger,2024,9,September
IBD030700,2024-09-08,2024-09-08,3,Road Accident,Lagos,2024,9,September
IBD030707,2024-09-08,2024-09-08,1,Road Accident,Niger,2024,9,September
IBD030704,2024-09-08,2024-09-08,1,Banditry,Kaduna,2024,9,September
IBD030712,2024-09-08,2024-09-08,6,Banditry,Kaduna,2024,9,September
IBD030717,2024-09-08,2024-09-08,1,Banditry,Kaduna,2024,9,September
IBD030709,2024-09-08,2024-09-08,2,Ritual Killing,Oyo,2024,9,September
IBD030706,2024-09-08,2024-09-08,1,Banditry,Sokoto,2024,9,September
IBD030711,2024-09-08,2024-09-08,1,Gunmen Vs Businessman,Anambra,2024,9,September
IBD030731,2024-09-08,2024-09-08,1,Hunter Vs Teenager,Lagos,2024,9,September
IBD030698,2024-09-07,2024-09-07,1,Domestic Violence,Delta,2024,9,September
IBD030697,2024-09-07,2024-09-07,1,Boy Drowns,Kano,2024,9,September
IBD030701,2024-09-07,2024-09-07,8,Road Accident,Fct (Abuja),2024,9,September
IBD030696,2024-09-07,2024-09-07,1,Man Found Dead,Kano,2024,9,September
IBD030702,2024-09-07,2024-09-07,1,Building Collapse,Kano,2024,9,September
IBD030699,2024-09-07,2024-09-07,1,Drowns,Jigawa,2024,9,September
IBD030694,2024-09-06,2024-09-06,5,Soldiers Vs Ipob Members,Anambra,2024,9,September
IBD030691,2024-09-06,2024-09-06,1,Gunmen Attack Man,Lagos,2024,9,September
IBD030686,2024-09-06,2024-09-06,1,Man Vs Lover,Edo,2024,9,September
IBD030689,2024-09-06,2024-09-06,4,Road Accident,Kano,2024,9,September
IBD030692,2024-09-06,2024-09-06,1,Police Vs Bandits,Kebbi,2024,9,September
IBD030681,2024-09-05,2024-09-05,1,Vigilante Kills Ipob Coordinator,Anambra,2024,9,September
IBD030680,2024-09-05,2024-09-05,4,Boat Mishap,Nasarawa,2024,9,September
IBD030688,2024-09-05,2024-09-05,2,Flood Disaster,Anambra,2024,9,September
IBD030679,2024-09-04,2024-09-04,1,Gunmen Attack 1,Oyo,2024,9,September
IBD031122,2024-09-04,2024-09-04,1,Domestic Violence,Ebonyi,2024,9,September
IBD030682,2024-09-04,2024-09-04,1,Police Officer Vs Student,Kwara,2024,9,September
IBD030664,2024-09-04,2024-09-04,3,Building Collapse,Kano,2024,9,September
IBD030713,2024-09-04,2024-09-04,1,Kidnappers Kill Teenager,Ogun,2024,9,September
IBD031173,2024-09-04,2024-09-04,1,Domestic Violence,Ebonyi,2024,9,September
IBD030654,2024-09-04,2024-09-04,3,Gunmen Attack,Imo,2024,9,September
IBD030666,2024-09-04,2024-09-04,1,Security Operatives Vs Man,Anambra,2024,9,September
IBD030735,2024-09-04,2024-09-04,1,Student Kidnap Colleague,Kogi,2024,9,September
IBD030644,2024-09-03,2024-09-03,1,IpobVsEsn Vs Police,Anambra,2024,9,September
IBD030655,2024-09-03,2024-09-03,11,Fulani Herdsmen Attack,Plateau,2024,9,September
IBD030656,2024-09-03,2024-09-03,1,Gunmen Vs Policeman,Imo,2024,9,September
IBD030732,2024-09-03,2024-09-03,1,Man Kills Teenager,Lagos,2024,9,September
IBD030667,2024-09-03,2024-09-03,1,Road Accident,Ogun,2024,9,September
IBD030647,2024-09-03,2024-09-03,1,Gunmen Vs Politician,Benue,2024,9,September
IBD030658,2024-09-03,2024-09-03,1,Ritual,Abia,2024,9,September
IBD030662,2024-09-03,2024-09-03,2,Boko Haram Vs Farmers,Niger,2024,9,September
IBD030663,2024-09-03,2024-09-03,2,Gunmen Attack,Rivers,2024,9,September
IBD030665,2024-09-03,2024-09-03,1,Medical Quackery,Nasarawa,2024,9,September
IBD030659,2024-09-03,2024-09-03,1,Herders Vs Farmer,Fct (Abuja),2024,9,September
IBD030736,2024-09-03,2024-09-03,1,Cult Clash,Lagos,2024,9,September
IBD030645,2024-09-03,2024-09-03,1,Electrocution,Benue,2024,9,September
IBD030660,2024-09-03,2024-09-03,1,Mob Lynch Man,Ogun,2024,9,September
IBD030661,2024-09-02,2024-09-02,2,Soldiers Vs Bandits,Kaduna,2024,9,September
IBD030657,2024-09-02,2024-09-02,1,Gunmen Vs Lawyer,Abia,2024,9,September
IBD030649,2024-09-02,2024-09-02,2,Youths Vs Couple,Imo,2024,9,September
IBD030648,2024-09-02,2024-09-02,1,Police Vs Bandits,Sokoto,2024,9,September
IBD030652,2024-09-02,2024-09-02,2,Hunters Vs Bandits,Kaduna,2024,9,September
IBD030908,2024-09-02,2024-09-02,1,Ritual Killing,Kwara,2024,9,September
IBD030646,2024-09-02,2024-09-02,2,Security Personnel Kills 2,Adamawa,2024,9,September
IBD030635,2024-09-02,2024-09-02,2,Gunmen Attack,Sokoto,2024,9,September
IBD030637,2024-09-02,2024-09-02,3,Kidnappers Kill 3,Delta,2024,9,September
IBD030638,2024-09-02,2024-09-02,1,Hoodlums Kill 1,Niger,2024,9,September
IBD030624,2024-09-01,2024-09-01,2,Road Accident,Ogun,2024,9,September
IBD030548,2024-09-01,2024-09-01,4,Mysterious Deaths,Enugu,2024,9,September
IBD030651,2024-09-01,2024-09-01,2,Banditry,Kaduna,2024,9,September
IBD030632,2024-09-01,2024-09-01,74,Boko Haram Attack,Yobe,2024,9,September
IBD030629,2024-09-01,2024-09-01,3,Soldiers Kill Bandits,Kaduna,2024,9,September
IBD030650,2024-09-01,2024-09-01,2,Army Vs Boko HaramVsIswap Terrorists,Borno,2024,9,September
IBD030685,2024-09-01,2024-09-07,76,Army Vs Terrorists,Kaduna,2024,9,September
IBD030683,2024-09-01,2024-09-07,76,Banditry,Katsina,2024,9,September
IBD030628,2024-09-01,2024-09-01,1,Kidnappers Vs School Girl,Ogun,2024,9,September
IBD030671,2024-09-01,2024-09-01,1,Road Accident,Ogun,2024,9,September
IBD030631,2024-09-01,2024-09-01,1,Native Doctor Vs Client,Edo,2024,9,September
IBD030636,2024-09-01,2024-09-01,2,Road Accident,Niger,2024,9,September
IBD030623,2024-08-31,2024-08-31,5,NAF Vs Terrorists,Kaduna,2024,8,August
IBD030634,2024-08-31,2024-08-31,1,Gunmen Vs Assembly's Aide,Edo,2024,8,August
IBD030619,2024-08-31,2024-08-31,4,Road Accident,Osun,2024,8,August
IBD030639,2024-08-31,2024-08-31,1,Youths Vs Bandits,Kaduna,2024,8,August
IBD030643,2024-08-31,2024-08-31,3,Gunmen Vs Vigilantes,Kogi,2024,8,August
IBD030630,2024-08-31,2024-08-31,4,Road Accident,Niger,2024,8,August
IBD030642,2024-08-31,2024-08-31,2,Gunmen Attack,Ekiti,2024,8,August
IBD030626,2024-08-31,2024-08-31,2,Cult Clash,Lagos,2024,8,August
IBD030614,2024-08-30,2024-08-30,3,Boko Haram Vs Students,Yobe,2024,8,August
IBD030618,2024-08-30,2024-08-30,6,Road Accident,Ogun,2024,8,August
IBD030743,2024-08-30,2024-08-30,2,Herdsmen Attack,Ondo,2024,8,August
IBD030641,2024-08-30,2024-09-30,1,Kidnap Victim,Nasarawa,2024,8,August
IBD030938,2024-08-30,2024-08-30,1,Assailant Vs Lady,Ogun,2024,8,August
IBD031023,2024-08-30,2024-08-30,1,Assailant Vs Man,Adamawa,2024,8,August
IBD030627,2024-08-30,2024-08-30,1,Hoodlums Vs Motorcyclist,Niger,2024,8,August
IBD030617,2024-08-29,2024-08-29,3,Herdsmen Kill 3 Farmers,Benue,2024,8,August
IBD030616,2024-08-29,2024-08-29,1,Banditry,Fct (Abuja),2024,8,August
IBD030606,2024-08-29,2024-08-29,8,Army Vs Bandits,Kaduna,2024,8,August
IBD030615,2024-08-29,2024-08-29,1,Army Kills 1,Kaduna,2024,8,August
IBD030610,2024-08-28,2024-08-28,38,Residents Vs Bandits,Zamfara,2024,8,August
IBD030611,2024-08-28,2024-08-28,3,Banditry,Kaduna,2024,8,August
IBD030621,2024-08-28,2024-08-28,17,Boat Mishap,Bauchi,2024,8,August
IBD030747,2024-08-28,2024-09-04,3,Flooding,Katsina,2024,8,August
IBD030750,2024-08-28,2024-09-04,3,Flooding,Katsina,2024,8,August
IBD030751,2024-08-28,2024-09-04,3,Flooding,Katsina,2024,8,August
IBD030749,2024-08-28,2024-09-04,3,Flooding,Katsina,2024,8,August
IBD030753,2024-08-28,2024-09-04,3,Flooding,Katsina,2024,8,August
IBD030608,2024-08-28,2024-08-28,1,Police Vs Kidnap Kingpin,Cross River,2024,8,August
IBD030622,2024-08-27,2024-08-27,1,Building Collapse,Kano,2024,8,August
IBD030612,2024-08-27,2024-08-27,1,Boy Drowns,Jigawa,2024,8,August
IBD030601,2024-08-27,2024-08-27,3,Farmers Vs Herders,Niger,2024,8,August
IBD030579,2024-08-27,2024-08-27,1,Train Accident,Lagos,2024,8,August
IBD030604,2024-08-27,2024-08-27,2,Soldier Vs Bandits,Kaduna,2024,8,August
IBD030729,2024-08-27,2024-08-27,10,Herders Vs Farmer,Oyo,2024,8,August
IBD030597,2024-08-27,2024-08-27,1,Man Vs Neighbour'S Daughter,Enugu,2024,8,August
IBD030580,2024-08-27,2024-08-27,5,Flooding,Jigawa,2024,8,August
IBD030602,2024-08-27,2024-08-27,1,Security Operatives Vs Robber,Kaduna,2024,8,August
IBD030588,2024-08-27,2024-08-27,1,Medical Negligence,Lagos,2024,8,August
IBD030586,2024-08-27,2024-08-27,2,Road Accident,Ogun,2024,8,August
IBD030583,2024-08-26,2024-08-26,1,Hoodlums Vs Farmer,Fct (Abuja),2024,8,August
IBD030585,2024-08-26,2024-08-26,16,Road Accident,Ondo,2024,8,August
IBD030576,2024-08-26,2024-08-26,1,Gunmen Vs Monarch'S Son,Lagos,2024,8,August
IBD030570,2024-08-25,2024-08-25,1,Boat Capsize,Bayelsa,2024,8,August
IBD030575,2024-08-25,2024-08-25,2,Police Vs Kidnappers,Katsina,2024,8,August
IBD030563,2024-08-25,2024-08-25,12,Shi'Ite Vs Police,Fct (Abuja),2024,8,August
IBD030577,2024-08-25,2024-08-25,1,Army Vs Bandits,Kaduna,2024,8,August
IBD030605,2024-08-25,2024-08-25,1,Mob Vs Thief,Fct (Abuja),2024,8,August
IBD030567,2024-08-24,2024-08-24,1,Childbirth Complications,Edo,2024,8,August
IBD030581,2024-08-24,2024-08-24,1,Bandits Vs Vigilante,Kaduna,2024,8,August
IBD030574,2024-08-24,2024-08-24,1,Gunmen Vs Woman,Benue,2024,8,August
IBD030569,2024-08-24,2024-08-24,7,Flood Incident,Adamawa,2024,8,August
IBD030564,2024-08-24,2024-08-24,1,Assailants Vs Motorcyclist,Ondo,2024,8,August
IBD030609,2024-08-24,2024-08-24,1,Soldier Kill Police,Kebbi,2024,8,August
IBD030578,2024-08-23,2024-08-23,1,Gunmen Vs Teacher,Nasarawa,2024,8,August
IBD030566,2024-08-23,2024-08-23,6,Road Accident,Ogun,2024,8,August
IBD030678,2024-08-23,2024-08-23,1,Cult Clash,Lagos,2024,8,August
IBD030571,2024-08-23,2024-08-23,5,Gunmen Attack 5,Benue,2024,8,August
IBD030620,2024-08-23,2024-08-23,1,Domestic Violence,Lagos,2024,8,August
IBD030558,2024-08-23,2024-08-23,2,Road Accident,Ogun,2024,8,August
IBD030565,2024-08-23,2024-08-23,1,Security Operatives Vs Kidnappers,Benue,2024,8,August
IBD030568,2024-08-23,2024-08-23,1,Gunmen Attack 1,Benue,2024,8,August
IBD030573,2024-08-23,2024-08-23,1,Rape Victim,Fct (Abuja),2024,8,August
IBD030559,2024-08-22,2024-08-22,1,Road Accident,Lagos,2024,8,August
IBD030556,2024-08-22,2024-08-22,4,Boko Haram Vs Farmers,Borno,2024,8,August
IBD030613,2024-08-22,2024-08-26,40,Army Vs Boko Haram,Borno,2024,8,August
IBD030554,2024-08-22,2024-08-22,1,Road Accident,Osun,2024,8,August
IBD030562,2024-08-22,2024-08-22,3,Soldiers Kills 3,Kaduna,2024,8,August
IBD030552,2024-08-21,2024-08-21,4,Boat Mishap,Kano,2024,8,August
IBD030555,2024-08-21,2024-08-21,5,Herders Vs Farmers,Niger,2024,8,August
IBD030544,2024-08-21,2024-08-21,28,Police Vs Gunmen,Enugu,2024,8,August
IBD030550,2024-08-21,2024-08-21,4,Boat Mishap,Taraba,2024,8,August
IBD030543,2024-08-21,2024-08-21,1,Terrorists Vs Monarch,Sokoto,2024,8,August
IBD030572,2024-08-21,2024-08-21,20,NAF Vs Bandits,Kaduna,2024,8,August
IBD030522,2024-08-21,2024-08-21,13,Bandits Kill Farmers,Niger,2024,8,August
IBD030560,2024-08-20,2024-08-20,1,Mysterious Death,Rivers,2024,8,August
IBD030561,2024-08-20,2024-08-20,4,Gunmen Vs Travellers,Kaduna,2024,8,August
PAR012636,2024-08-20,2024-08-20,1,Driver Kill Employer,Kwara,2024,8,August
IBD030677,2024-08-20,2024-08-20,1,Cult Clash,Lagos,2024,8,August
IBD030676,2024-08-20,2024-08-20,1,Cult Killing,Lagos,2024,8,August
IBD030584,2024-08-20,2024-08-20,1,Fisherman,Rivers,2024,8,August
IBD030525,2024-08-19,2024-08-19,1,Road Accident,Delta,2024,8,August
IBD030531,2024-08-19,2024-08-19,2,Banditry,Kaduna,2024,8,August
IBD030540,2024-08-19,2024-08-19,1,Hunters Vs Herders,Ogun,2024,8,August
IBD030582,2024-08-19,2024-08-19,1,Tea Vendor Vs Man,Jigawa,2024,8,August
IBD030539,2024-08-19,2024-08-19,1,Rape Victim,Kano,2024,8,August
IBD030551,2024-08-19,2024-08-19,3,Gunmen Attack 3,Kaduna,2024,8,August
IBD030669,2024-08-19,2024-08-19,1,Kidnappers Vs Student,Lagos,2024,8,August
IBD030537,2024-08-19,2024-08-19,1,Fasting,Lagos,2024,8,August
IBD030527,2024-08-19,2024-08-19,1,Inferno,Lagos,2024,8,August
IBD030546,2024-08-19,2024-08-19,20,Army Vs Bandits,Plateau,2024,8,August
IBD030532,2024-08-19,2024-08-19,1,Corpse Found,Fct (Abuja),2024,8,August
IBD031660,2024-08-18,2024-08-18,1,Drug Addict Vs Girl,Enugu,2024,8,August
IBD030518,2024-08-18,2024-08-18,1,Road Accident,Ogun,2024,8,August
IBD030530,2024-08-18,2024-08-18,1,Gunmen Attack,Katsina,2024,8,August
IBD030674,2024-08-18,2024-08-18,3,Cult Clash,Lagos,2024,8,August
IBD030534,2024-08-18,2024-08-18,4,Gunmen Vs Police,Enugu,2024,8,August
IBD030533,2024-08-18,2024-08-18,3,Banditry,Katsina,2024,8,August
IBD030894,2024-08-18,2024-08-18,3,3 Killed,Akwa Ibom,2024,8,August
IBD030549,2024-08-18,2024-08-18,2,Herders Vs Bandits,Kaduna,2024,8,August
IBD030526,2024-08-18,2024-08-18,3,Mob Vs Armed Robbers,Bauchi,2024,8,August
IBD030764,2024-08-18,2024-08-18,1,Man Kills Friend,Ogun,2024,8,August
IBD030557,2024-08-18,2024-08-18,1,Assailant Vs Provision Seller,Nasarawa,2024,8,August
IBD030545,2024-08-18,2024-08-18,40,NAF Vs Boko Harm,Borno,2024,8,August
IBD030520,2024-08-18,2024-08-18,4,Inferno,Borno,2024,8,August
IBD030538,2024-08-17,2024-08-17,2,Miners Killed,Niger,2024,8,August
IBD030521,2024-08-17,2024-08-17,2,Army Vs Bandits,Kaduna,2024,8,August
IBD030535,2024-08-17,2024-08-19,4,Food Poison,Kwara,2024,8,August
IBD030607,2024-08-17,2024-08-17,1,Vigilantes Vs Undergraduate,Anambra,2024,8,August
IBD030519,2024-08-17,2024-08-17,3,Army Vs Boko Haram Commander,Borno,2024,8,August
IBD030517,2024-08-17,2024-08-17,2,Building Collapse,Kano,2024,8,August
IBD030523,2024-08-16,2024-08-16,1,Terrorists Vs Governor's Aide,Katsina,2024,8,August
IBD030524,2024-08-16,2024-08-19,5,Food Poison,Sokoto,2024,8,August
IBD030516,2024-08-16,2024-08-16,1,Gunmen Vs Police,Anambra,2024,8,August
IBD030512,2024-08-16,2024-08-16,1,Gunmen Vs Project Coordinator,Nasarawa,2024,8,August
IBD030509,2024-08-15,2024-08-15,1,Road Accident,Anambra,2024,8,August
IBD030541,2024-08-15,2024-08-15,1,Road Accident,Fct (Abuja),2024,8,August
IBD030633,2024-08-15,2024-08-15,2,Boko Haram Kills 2,Yobe,2024,8,August
IBD030653,2024-08-15,2024-08-15,3,Inferno,Kano,2024,8,August
IBD030675,2024-08-15,2024-08-15,1,Cultist Kill 1,Lagos,2024,8,August
IBD030851,2024-08-15,2024-08-15,1,Cult Killing,Lagos,2024,8,August
IBD030501,2024-08-14,2024-08-14,5,Farmers Vs Herders,Adamawa,2024,8,August
IBD030508,2024-08-14,2024-08-14,2,Communal Clash,Kwara,2024,8,August
IBD030500,2024-08-14,2024-08-14,11,Road Accident,Abia,2024,8,August
IBD030502,2024-08-14,2024-08-14,1,Communal Clash,Niger,2024,8,August
IBD030505,2024-08-14,2024-08-14,1,Man Dies,Niger,2024,8,August
IBD030529,2024-08-14,2024-08-14,1,Farmer Vs Herders,Fct (Abuja),2024,8,August
IBD030510,2024-08-14,2024-08-14,1,Police Vs Truck Driver,Abia,2024,8,August
IBD030722,2024-08-13,2024-08-13,1,Pastor Vs Wife,Anambra,2024,8,August
IBD030499,2024-08-13,2024-08-13,1,Baby Found Dead,Anambra,2024,8,August
IBD030468,2024-08-13,2024-08-13,12,Road Accident,Ogun,2024,8,August
IBD030487,2024-08-13,2024-08-13,1,Herdsmen Vs Farmer,Ondo,2024,8,August
IBD030515,2024-08-13,2024-08-13,6,Food Poisoning,Kano,2024,8,August
IBD030542,2024-08-13,2024-08-13,6,Food Poison,Nasarawa,2024,8,August
IBD030479,2024-08-13,2024-08-13,1,Banditry,Kaduna,2024,8,August
IBD030507,2024-08-13,2024-08-13,1,Man Stabs Friend,Fct (Abuja),2024,8,August
IBD030472,2024-08-13,2024-08-13,16,Road Accident,Oyo,2024,8,August
IBD030457,2024-08-12,2024-08-12,2,Road Accident,Ogun,2024,8,August
IBD030452,2024-08-12,2024-08-12,2,Gunmen Attack,Zamfara,2024,8,August
IBD030640,2024-08-12,2024-09-02,1,Police Vs Robber,Kaduna,2024,8,August
IBD030471,2024-08-12,2024-08-12,1,Flooding,Bauchi,2024,8,August
IBD030474,2024-08-12,2024-08-12,1,Baby Found Dead,Niger,2024,8,August
IBD030451,2024-08-12,2024-08-12,7,Gunmen Vs Travellers,Taraba,2024,8,August
IBD030470,2024-08-12,2024-08-12,1,Flooding,Bauchi,2024,8,August
IBD030504,2024-08-12,2024-08-12,1,Boy Drowns,Fct (Abuja),2024,8,August
IBD030456,2024-08-12,2024-08-12,1,Gunmen Vs Doctor,Kaduna,2024,8,August
IBD030467,2024-08-12,2024-08-12,5,Army Vs Boko Haram,Borno,2024,8,August
IBD030478,2024-08-12,2024-08-12,4,Communal Clash,Enugu,2024,8,August
IBD030498,2024-08-12,2024-08-12,2,Drowns,Jigawa,2024,8,August
IBD030473,2024-08-12,2024-08-12,1,Gunmen Vs Monarch,Kogi,2024,8,August
IBD030469,2024-08-12,2024-08-12,1,Flooding,Bauchi,2024,8,August
IBD030453,2024-08-12,2024-08-12,1,Guard,Osun,2024,8,August
IBD030490,2024-08-11,2024-08-12,1,Flooding Kills 1,Jigawa,2024,8,August
IBD030496,2024-08-11,2024-08-12,1,Flooding,Jigawa,2024,8,August
IBD030454,2024-08-11,2024-08-11,1,Banditry,Niger,2024,8,August
IBD030476,2024-08-11,2024-08-11,1,Bandits Kill Farm Manager,Niger,2024,8,August
IBD030492,2024-08-11,2024-08-12,1,Flooding,Jigawa,2024,8,August
IBD030486,2024-08-11,2024-08-11,2,Flooding,Jigawa,2024,8,August
IBD030450,2024-08-11,2024-08-11,2,FloodingVsBuilding Collapse,Jigawa,2024,8,August
IBD030465,2024-08-11,2024-08-11,1,Banditry,Kaduna,2024,8,August
IBD030462,2024-08-11,2024-08-11,1,Cult Clash,Ogun,2024,8,August
IBD030485,2024-08-11,2024-08-11,2,Flooding Kills 1,Jigawa,2024,8,August
IBD030497,2024-08-11,2024-08-11,1,Flooding,Jigawa,2024,8,August
IBD030488,2024-08-11,2024-08-11,2,Flooding Kills 1,Jigawa,2024,8,August
